"sep=;"
Start Time;Stop Time;Frame Error Time;ISDN Port Probe;NID_ENGINE;NID_OPERATIONAL;Calling Number;Called Number;Last NID_C;Last NID_BG;M Level;M_MODE;Direction;Frame Error;Frame Error Retransmission Count
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:23:15.872;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;1502;Level 1;Full Supervision;Track to train;Retransmitted Frames;2
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:23:15.668;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;1502;Level 1;Full Supervision;Track to train;Retransmitted Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:19:08.582;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;1532;Level 2;Full Supervision;Track to train;Retransmitted Frames;2
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:12:12.515;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;1558;Level 2;Full Supervision;Track to train;Retransmitted Frames;2
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:10:16.533;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;1560;Level 2;Full Supervision;Track to train;Retransmitted Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:10:15.555;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;1560;Level 2;Full Supervision;Track to train;Retransmitted Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:07:12.618;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2018;Level 2;Full Supervision;Track to train;Retransmitted Frames;2
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:04:32.555;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2046;Level 2;Full Supervision;Train to track;Retransmitted Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:04:31.178;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2046;Level 2;Full Supervision;Train to track;Lost Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:03:52.096;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2054;Level 2;Full Supervision;Track to train;Retransmitted Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 16:00:45.300;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2512;Level 2;Full Supervision;Track to train;Retransmitted Frames;2
2026-05-13 15:36:29.433;2026-05-13 16:00:43.223;2026-05-13 16:00:07.892;E1 probe 18765 - patch panel 1 - port 1;13044;;00212799991038;799990099;811;1407;Level 2;Full Supervision;Train to track;Wrong CRC Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 15:59:32.233;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2528;Level 2;Full Supervision;Train to track;Retransmitted Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 15:59:31.179;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2528;Level 2;Full Supervision;Train to track;Lost Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 15:59:31.128;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2528;Level 2;Full Supervision;Train to track;Wrong CRC Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 15:58:32.138;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2538;Level 2;Full Supervision;Train to track;Retransmitted Frames;1
2026-05-13 15:33:03.866;2026-05-13 16:24:10.635;2026-05-13 15:58:31.169;E1 probe 18765 - patch panel 1 - port 1;13035;1033;00212799991035;799990099;811;2538;Level 2;Full Supervision;Train to track;Lost Frames;1
2026-05-13 15:36:29.433;2026-05-13 16:00:43.223;2026-05-13 15:58:10.159;E1 probe 18765 - patch panel 1 - port 1;13044;;00212799991038;799990099;811;1051;Level 2;Full Supervision;Track to train;Retransmitted Frames;1
